Bucket Number,Bucket
354,"pp, peer, file, distributing file, pp file, distributing, pp file sharing, file sharing"
355,"answer, following question, answer following question, answer following, question, following question answer, question answer, answer question"
356,"fec, forward error correction, forward error, interleaving, fec interleaving, interleaving fec, error correction, correction"
357,"protocol shown, fig protocol, protocol shown figure, protocol shown fig, fig figure, fig, protocol fig, protocol"
358,"sequence number, sequence, sequence number frame, number frame, frame, frame sequence, number, number checked"
359,"networking, design, network designer, innovation, change, network crucial component, networking continues, networking dessert"
360,"content, content distribution, content distribution network, distribution network, distribution, content provider, contentprovider network, replicated content"
361,"stopandwait, stop wait, wait protocol, wait, stop wait protocol, utilization, stop, stopandwait protocol"
362,"code, advanced code, simple code, block code, balanced, codewords, codeword, advanced"
363,"udp, socket programming, clientserver application, udp client, clientserver, socket, udpserver, needed socket"
364,"acknowledgement, receipt, end acknowledgement, end end acknowledgement, called cumulative, called cumulative acknowledgement, acknowledged, cumulative acknowledgement"
365,"joe, florida, orlando, gas station, drive, gas, lakeside, lakeside drive"
366,"true false, true, false, true false true, false true false, false true, true true, false problem"
367,"station, transmits frame, frame, station transmits frame, station transmits, frame station, transmitting frame, frame containing"
368,"ethernet frame, ethernet, frame ethernet, frame ethernet frame, baset, frame structure, frame, ethernet frame shown"
369,"mime type, mime, type, existing association, cs, display, type application, type browser"
370,"packet lifetime, lifetime, maximum packet lifetime, maximum packet, maximum, packet lifetime maximum, lifetime maximum, lifetime maximum packet"
371,"mobility, nomadic, situation laptop, gain access, situation, gain, network mobility design, need provide mobility"
372,"voice, voice data, digital voice, data traffic, voice ip, digitized, voice call, ip internet telephony"
373,"sin, fourier, co, amplitude, bn, sine, sin sin, kft"
374,"multiplexing, inverse multiplexing, inverse, multiplexing section, multiplexing inverse, multiplexing inverse multiplexing, called multiplexing, channel multiplexed"
375,"message fig, fig message, message shown, fig message shown, fig, message fig message, shown fig message, message"
376,"sends frame, trying send, frame, frame sender, reply frame, sending frame, trying send frame, trying"
377,"transmission rate, link transmission, rc, link transmission rate, transmission rate link, bps, rate, rate link"
378,"ellen, dean, marilyn, letter, tom, letter message, dick, message digest"
379,"session key, session, key, session key computed, key computed, generate, handshake, conversation"
380,"choke packet, choke, choke packet reach, required reduce, choke packet affect, hop pass, packet affect, packet reach"
381,"replay attack, replay, attack, defend replay attack, defend replay, fail integrity, connection replay attack, connection replay"
382,"mpls, label, label switching, multiprotocol label, multiprotocol label switching, switching mpls, multiprotocol, mpls multiprotocol"
383,"quantum, quantum cryptography, photon, cryptography, clone, clone photon, pad, time pad"
384,"internet traffic, cisco, majority internet, traffic video, internet traffic video, cisco predicts, predicts, video"
385,"multiple bit, padded, length, message bit, message padded, padding, length multiple bit, bit"
386,"access point, point, access, building access point, building access, access point access, point access point, point access"
387,"follow, follow route, packet follow, route, packet follow route, path taken, path, packet flow"
388,"trudy, trudy trudy, trick, got, trudy indulging prank, na, na pa, trudy course seen"
389,"happens happens, happens happens happens, happens, happen, happen remains seen, actually happen remains, actually happen, bit embarrassment annoying"
390,"tape, magnetic, ultrium tape, magnetic tape, ultrium, box, gigabyte, backup"
391,"host sends segment, sends segment, host sends, segment host, suppose host sends, suppose host, host, segment"
392,"public key, certificate, public, certification, key, certificate bind public, bind public, bind public key"
393,"tollbooth, caravan, car, car caravan, car travel, highway, suppose car, kmhour"
394,"network management, software, subramanian, network application, management, hardware software, network general, hardware"
395,"army, war, army problem, soldier, war ii, world war, world war ii, battle"
396,"buffer, bd, offered load, ac, offered load approach, load approach, buffer router, finite"
397,"sneaky, consumer, online, sale, product, buy, ad, want buy"
398,"bridge, spanning tree, spanning, tree, spanning tree bridge, tree bridge, root, lowest identifier"
399,"route, route route, lie, rest route discover, route exact, telling route, suddenly need, telling little"
400,"terminal, hidden terminal, terminal problem, hidden, hidden terminal problem, exposed terminal, exposed, terminal transmitting"
401,"check bit, bit check bit, bit check, bit, bit bit, way get wrong, way get, version diff come"
402,"chunk, peer, chunk peer, torrent, copy chunk, time peer, chunk file, chunk size"
403,"nak, sender time, frame, eventually sender, eventually sender time, nak get, retransmission frame, timer"
404,"udp streaming, streaming, udp, video, lose packet, client client, constant rate, audio video"
405,"ethernet frame, ethernet frame containing, bob laptop, switch delivers, frame switch delivers, switch delivers frame, delivers frame, frame destination"
406,"match, guarantee, guarantee hard, hard match short, given guarantee considering, match short unlikely, match short, match make fragile"
407,"finish, finish time, time packet, round, fi, packet finish, finish time packet, round start"
408,"message authentication code, authentication code, message authentication, mac, authentication code mac, code mac, authentication, hmac"
409,"macroblock, previous frame, macroblocks, previous, macroblocks containing, position, position previous, macroblock encoded"
410,"checksum, checksummed, checksummed frame, checksum recomputed, valid frame, recomputed, frame, incorrect"
411,"close, close connection, wait connection, client close, connection wait connection, connection wait, connection, connection close"
412,"thermostat, appliance, laptop, console, home, smartphones, smart home, traffic control system"
413,"power, power management, electrical power, management, battery, electrical, saving, save"
414,"dhts, hash table, distributed hash, distributed hash table, distributed, dht, hash, dhts distributed hash"
415,"gbps, mbps ethernet, mbps, gbps ethernet, ethernet, juniper mx, gbps ethernet port, server gbps"
416,"export, export license, license, government, use export, restriction, munition, law"
417,"point point link, point link, pointtopoint, point, pointtopoint link, point point, view, broadcast channel"
418,"error detection, detection correction, error detection correction, correction, detection, error, correction saw, detection correction saw"
419,"age seq, seq age, seq age seq, age seq age, age, seq, field convert, function add store"
420,"topology, topology shown, topology fig, view example, consider topology, fig topology, topology figure, topology shown figure"
421,"dtrans, dtrans time, dprop, suppose dprop, time tdtrans, tdtrans bit, tdtrans bit packet, dtrans time tdtrans"
422,"communication channel, underlying channel, channel, assumed error, communication channel assumed, assumed error free, channel assumed, channel assumed error"
423,"kerberos, needham schroeder, schroeder, needham, authentication protocol, authentication, protocol needham, protocol needham schroeder"
424,"transit, transit traffic, transit service, balance, balance load, want transit traffic, want transit, traffic"
425,"id sensor, id, sensor, intrusion, suspicious, filter, packet filter, intrusion detection"
426,"multiplexing demultiplexing, demultiplexing, multiplexing, transportlayer multiplexing demultiplexing, transportlayer multiplexing, transportlayer, demultiplexing let, demultiplexing section"
427,"time lr, lr, entire packet, bit router, entire, destination time lr, bit shortly, receives bit router"
428,"saw section, saw section saw, section saw section, section saw, saw, section, recall saw section, viewed simultaneously saw"
429,"shift keying, keying, shift, amplitude, phase, phase shift, phase shift keying, amplitude phase"
430,"socket, network application, socket programming, berkeley, berkeley socket, socket programming assignment, programming, primitive"
431,"msec, second packet, packet msec, spacing, second packet msec, msec spacing, greater msec, packet make"
432,"come come, come, thing go resigning, thing go, big thing, big thing go, go leave, come came"
433,"wireless, technical challenge, challenge, distinction challenge posed, distinction challenge, posed wireless, network mobility wireless, challenge posed wireless"
434,"buffer, receiver, dedicate, buffering, knowing, need buffer oforder, occasionally discarded, efficiency sufficient"
435,"array, state array, state, min, variable string array, rk array, variable string, string array"
436,"hash, hash function, hash hm, creates message, hm example sha, function alice, hash hm example, hash function alice"
437,"case shown, figure case, case shown figure, shown figure case, case, figure case shown, case case shown, shown fig case"
438,"rack, simultaneous flow, host rack, simultaneous, flow, rack simultaneous, simultaneous flow rack, pair flow"
439,"learned section, section learned section, section learned, learned section learned, learned, section, switch selflearning section, familiar ground learned"
440,"network layer ready, layer ready, network layer, ready event, layer ready event, void, event, cause network layer"
441,"receiver, wait low power, initially receiver, interested knowing number, process called ranging, marked example periodic, million group, process happens"
442,"roundabout, car, exit, ramp, exit ramp, roundabout exit, attendant, interchange"
443,"destination, address destination, destination ip, destination address, address destination source, address source, destination source, destination ip address"
444,"polling, master node, polling protocol, node, polling node, master, node cyclic manner, node roundrobin"
445,"zigbee, personal area network, personal area, zigbee network, bluetooth zigbee, bluetooth, personal, area network"
446,"isolation, class, isolation class, providing isolation, traffic class, class traffic, insight, traffic"
447,"packet loss, loss, packet loss probability, loss probability, packet loss rate, loss rate, endtoend delay, lost"
448,"itu, tor, tor itu, itu tor, itu standard itu, itu agency united, member itu main, nation itu"
449,"range, range range, older block range, range negligible, range present older, range present, range similarly dtrans, reserved range"
450,"packet containing, bit suppose, packet byte, containing, packet containing data, byte packet, containing data, byte"
451,"sublayer, mac sublayer, mac sublayer protocol, sublayer protocol, mac, mac common, common sublayer, mac common sublayer"
452,"peering, relationship, advertisement, peering relationship, transit peering, suppose peering, policy, peering agreement"
453,"aloha, slotted, slotted aloha, aloha protocol, slotted aloha protocol, pure, sense multiple, carrier sense multiple"
454,"metcalfe, boggs, metcalfe boggs, network metcalfe boggs, network metcalfe, david boggs, abramsons, david"
455,"mapping, possible mapping, mapping possible mapping, mapping possible, example mapped, mapped, mapped balanced example, mapping given"
456,"reverse path forwarding, reverse path, path forwarding, reverse, ln, forwarding, path, lack reverse"
457,"context switch, kernel, context, receiving process, network manager, user space, manager, switch current user"
458,"drop packet, router drop packet, router drop, drop, important class, drop packet overloaded, difficult build router, difficult build"
459,"ascii, character, ascii representation, letter uppercase, special character, letter, representation letter, ascii representation letter"
460,"format, output format, output format long, format long unambiguous, format long, long unambiguous, select output format, select output"
461,"pp, pp architecture, architecture, minimal reliance, architecture minimal reliance, pp architecture minimal, architecture application, architecture minimal"
462,"rtp, rtp stream, stream, audio video, rtp session, video, audio video stream, audio"
463,"adapter, aging time, address fefa, fefa, suppose frame destination, frame source address, aging, switch"
464,"cell, frequency, neighboring cell, frequency reused, reuse, neighboring, reused, conflict neighboring"
465,"server executes, executes, listen, establish connection, primitive, incoming connection, accept primitive, establish connection server"
466,"common factor, number chosen, force suitable value, suitable value common, structure repeated field, unlucky number, represent space, field represent space"
467,"wave, earth, band, lf mf band, mf band radio, band radio, wave follow, ionosphere"
468,"hop, metric, distance hop, execution instance, metric hop, packet node, execution, number hop"
469,"blocked, traffic blocked, network allowed, host traffic, delivered host, traffic host, traffic, allowed"
470,"movie, metafile, linked, step, medium player, player start reading, movie play movie, movie byte"
471,"scenario, scenario shown figure, scenario shown, shown figure scenario, scenario figure, figure scenario, shown figure, figure"
472,"broadcast, broadcast lan, connected broadcast, broadcast link, lan, represented, typically lan, host examined"
473,"region, hierarchy, cluster, hierarchical routing, routing, level hierarchy, routing scale, region cluster"
474,"packet size, overhead, small packet, small packet size, bandwidth wasted, achieved, wasted, large packet reduces"
475,"routing table, initial routing table, initial routing, table, node initial, column figure, node initial routing, routing"
476,"router router, packet source, packet make, hop, router, broadcast packet, packet arrived, received packet"
477,"multimedia, multimedia networking, networking, support multimedia, chapter, multimedia application, multimedia networking foundation, networking foundation"
478,"knapsack, weight, object, algorithm knapsack algorithm, object knapsack, list object, knapsack algorithm, algorithm knapsack"
479,"index, index distributed, distributed, peer, worth effort question, index way index, required search distributed, indexing algorithm"
480,"city, philadelphia, toronto hong kong, toronto hong, toronto, auckland, cover city, minneapolis"
481,"error, error correcting code, correcting code, error correcting, correcting, code error, different error correcting, error extra point"
482,"mechanism, studied section, machinery resolution, mechanism driven need, studied section foremost, necessary equal, sentence mechanism infrastructure, showed mechanism called"
483,"symbol, volt, represent bit, volt represent, bit volt, volt logical, volt represent bit, bit symbol"
484,"movie, music, movie rental, sharing, music video, rental, file sharing, peer"
485,"turn, processed turn wrong, problem way dealing, unecessary, urity perspective, unecessary turn block, unecessary turn, turn problem"
