problem_statement,titleslug,title,tags,num_occur
"Given an unsorted integer array nums, return the smallest missing positive integer. You must implement an algorithm that runs in O(n) time and uses constant extra space.  ",first-missing-positive,First Missing Positive,"Array, Hash Table",5
Write a program to solve a Sudoku puzzle by filling the empty cells. A sudoku solution must satisfy all of the following rules:  Each of the digits 1-9 must occur exactly once in each row. Each of the digits 1-9 must occur exactly once in each column. Each of the digits 1-9 must occur exactly once in each of the 9 3x3 sub-boxes of the grid.  The '.' character indicates empty cells.  ,sudoku-solver,Sudoku Solver,"Array, Hash Table, Backtracking, Matrix",5
"Given two integers dividend and divisor, divide two integers without using multiplication, division, and mod operator. The integer division should truncate toward zero, which means losing its fractional part. For example, 8.345 would be truncated to 8, and -2.7335 would be truncated to -2. Return the quotient after dividing dividend by divisor. Note: Assume we are dealing with an environment that could only store integers within the 32-bit signed integer range: [−231, 231 − 1]. For this problem, if the quotient is strictly greater than 231 - 1, then return 231 - 1, and if the quotient is strictly less than -231, then return -231.  ",divide-two-integers,Divide Two Integers,"Math, Bit Manipulation",5
"Given the head of a linked list, remove the nth node from the end of the list and return its head.  ",remove-nth-node-from-end-of-list,Remove Nth Node From End of List,"Linked List, Two Pointers",5
"Given a string containing digits from 2-9 inclusive, return all possible letter combinations that the number could represent. Return the answer in any order. A mapping of digits to letters (just like on the telephone buttons) is given below. Note that 1 does not map to any letters.   ",letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,"Hash Table, String, Backtracking",5
"You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]). Find two lines that together with the x-axis form a container, such that the container contains the most water. Return the maximum amount of water a container can store. Notice that you may not slant the container.  ",container-with-most-water,Container With Most Water,"Array, Two Pointers, Greedy",5
"Given a signed 32-bit integer x, return x with its digits reversed. If reversing x causes the value to go outside the signed 32-bit integer range [-231, 231 - 1], then return 0. Assume the environment does not allow you to store 64-bit integers (signed or unsigned).  ",reverse-integer,Reverse Integer,Math,5
"You are given a 0-indexed integer array nums and a target element target. A target index is an index i such that nums[i] == target. Return a list of the target indices of nums after sorting nums in non-decreasing order. If there are no target indices, return an empty list. The returned list must be sorted in increasing order.  ",find-target-indices-after-sorting-array,Find Target Indices After Sorting Array,"Array, Binary Search, Sorting",4
"You are given an m x n matrix board, representing the current state of a crossword puzzle. The crossword contains lowercase English letters (from solved words), ' ' to represent any empty cells, and '#' to represent any blocked cells. A word can be placed horizontally (left to right or right to left) or vertically (top to bottom or bottom to top) in the board if:  It does not occupy a cell containing the character '#'. The cell each letter is placed in must either be ' ' (empty) or match the letter already on the board. There must not be any empty cells ' ' or other lowercase letters directly left or right of the word if the word was placed horizontally. There must not be any empty cells ' ' or other lowercase letters directly above or below the word if the word was placed vertically.  Given a string word, return true if word can be placed in board, or false otherwise.  ",check-if-word-can-be-placed-in-crossword,Check if Word Can Be Placed In Crossword,"Array, Matrix, Enumeration",4
"Given an integer array nums of length n, you want to create an array ans of length 2n where ans[i] == nums[i] and ans[i + n] == nums[i] for 0 <= i < n (0-indexed). Specifically, ans is the concatenation of two nums arrays. Return the array ans.  ",concatenation-of-array,Concatenation of Array,Array,4
"You are given a string text of words that are placed among some number of spaces. Each word consists of one or more lowercase English letters and are separated by at least one space. It's guaranteed that text contains at least one word. Rearrange the spaces so that there is an equal number of spaces between every pair of adjacent words and that number is maximized. If you cannot redistribute all the spaces equally, place the extra spaces at the end, meaning the returned string should be the same length as text. Return the string after rearranging the spaces.  ",rearrange-spaces-between-words,Rearrange Spaces Between Words,String,4
You are given an integer array target. You have an integer array initial of the same size as target with all elements initially zeros. In one operation you can choose any subarray from initial and increment each value by one. Return the minimum number of operations to form a target array from initial. The test cases are generated so that the answer fits in a 32-bit integer.  ,minimum-number-of-increments-on-subarrays-to-form-a-target-array,Minimum Number of Increments on Subarrays to Form a Target Array,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack",4
"You are given an alphanumeric string s. (Alphanumeric string is a string consisting of lowercase English letters and digits). You have to find a permutation of the string where no letter is followed by another letter and no digit is followed by another digit. That is, no two adjacent characters have the same type. Return the reformatted string or return an empty string if it is impossible to reformat the string.  ",reformat-the-string,Reformat The String,String,4
"Given an array of integers nums and a positive integer k, check whether it is possible to divide this array into sets of k consecutive numbers. Return true if it is possible. Otherwise, return false.  ",divide-array-in-sets-of-k-consecutive-numbers,Divide Array in Sets of K Consecutive Numbers,"Array, Hash Table, Greedy, Sorting",4
"Design a time-based key-value data structure that can store multiple values for the same key at different time stamps and retrieve the key's value at a certain timestamp. Implement the TimeMap class:  TimeMap() Initializes the object of the data structure. void set(String key, String value, int timestamp) Stores the key key with the value value at the given time timestamp. String get(String key, int timestamp) Returns a value such that set was called previously, with timestamp_prev <= timestamp. If there are multiple such values, it returns the value associated with the largest timestamp_prev. If there are no values, it returns """".   ",time-based-key-value-store,Time Based Key-Value Store,"Hash Table, String, Binary Search, Design",4
"Given a string s, rearrange the characters of s so that any two adjacent characters are not the same. Return any possible rearrangement of s or return """" if not possible.  ",reorganize-string,Reorganize String,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting",4
"Given an array of integers nums which is sorted in ascending order, and an integer target, write a function to search target in nums. If target exists, then return its index. Otherwise, return -1. You must write an algorithm with O(log n) runtime complexity.  ",binary-search,Binary Search,"Array, Binary Search",4
"Design a class to find the kth largest element in a stream. Note that it is the kth largest element in the sorted order, not the kth distinct element. Implement KthLargest class:  KthLargest(int k, int[] nums) Initializes the object with the integer k and the stream of integers nums. int add(int val) Appends the integer val to the stream and returns the element representing the kth largest element in the stream.   ",kth-largest-element-in-a-stream,Kth Largest Element in a Stream,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream",4
"Given the root of a binary tree, return the maximum width of the given tree. The maximum width of a tree is the maximum width among all levels. The width of one level is defined as the length between the end-nodes (the leftmost and rightmost non-null nodes), where the null nodes between the end-nodes that would be present in a complete binary tree extending down to that level are also counted into the length calculation. It is guaranteed that the answer will in the range of a 32-bit signed integer.  ",maximum-width-of-binary-tree,Maximum Width of Binary Tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",4
"Given a sorted integer array arr, two integers k and x, return the k closest integers to x in the array. The result should also be sorted in ascending order. An integer a is closer to x than an integer b if:  |a - x| < |b - x|, or |a - x| == |b - x| and a < b   ",find-k-closest-elements,Find K Closest Elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)",4
"Given the coordinates of four points in 2D space p1, p2, p3 and p4, return true if the four points construct a square. The coordinate of a point pi is represented as [xi, yi]. The input is not given in any order. A valid square has four equal sides with positive length and four equal angles (90-degree angles).  ",valid-square,Valid Square,"Math, Geometry",4
"Given a string s and a string array dictionary, return the longest string in the dictionary that can be formed by deleting some of the given string characters. If there is more than one possible result, return the longest word with the smallest lexicographical order. If there is no possible result, return the empty string.  ",longest-word-in-dictionary-through-deleting,Longest Word in Dictionary through Deleting,"Array, Two Pointers, String, Sorting",4
"Design and implement a data structure for a Least Frequently Used (LFU) cache. Implement the LFUCache class:  LFUCache(int capacity) Initializes the object with the capacity of the data structure. int get(int key) Gets the value of the key if the key exists in the cache. Otherwise, returns -1. void put(int key, int value) Update the value of the key if present, or inserts the key if not already present. When the cache reaches its capacity, it should invalidate and remove the least frequently used key before inserting a new item. For this problem, when there is a tie (i.e., two or more keys with the same frequency), the least recently used key would be invalidated.  To determine the least frequently used key, a use counter is maintained for each key in the cache. The key with the smallest use counter is the least frequently used key. When a key is first inserted into the cache, its use counter is set to 1 (due to the put operation). The use counter for a key in the cache is incremented either a get or put operation is called on it. The functions get and put must each run in O(1) average time complexity.  ",lfu-cache,LFU Cache,"Hash Table, Linked List, Design, Doubly-Linked List",4
"Given an m x n integer matrix heightMap representing the height of each unit cell in a 2D elevation map, return the volume of water it can trap after raining.  ",trapping-rain-water-ii,Trapping Rain Water II,"Array, Breadth-First Search, Heap (Priority Queue), Matrix",4
"Implement the RandomizedSet class:  RandomizedSet() Initializes the RandomizedSet object. bool insert(int val) Inserts an item val into the set if not present. Returns true if the item was not present, false otherwise. bool remove(int val) Removes an item val from the set if present. Returns true if the item was present, false otherwise. int getRandom() Returns a random element from the current set of elements (it's guaranteed that at least one element exists when this method is called). Each element must have the same probability of being returned.  You must implement the functions of the class such that each function works in average O(1) time complexity.  ",insert-delete-getrandom-o1,Insert Delete GetRandom O(1),"Array, Hash Table, Math, Design, Randomized",4
"Given an n x n matrix where each of the rows and columns is sorted in ascending order, return the kth smallest element in the matrix. Note that it is the kth smallest element in the sorted order, not the kth distinct element. You must find a solution with a memory complexity better than O(n2).  ",kth-smallest-element-in-a-sorted-matrix,Kth Smallest Element in a Sorted Matrix,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix",4
"You are given a list of airline tickets where tickets[i] = [fromi, toi] represent the departure and the arrival airports of one flight. Reconstruct the itinerary in order and return it. All of the tickets belong to a man who departs from ""JFK"", thus, the itinerary must begin with ""JFK"". If there are multiple valid itineraries, you should return the itinerary that has the smallest lexical order when read as a single string.  For example, the itinerary [""JFK"", ""LGA""] has a smaller lexical order than [""JFK"", ""LGB""].  You may assume all tickets form at least one valid itinerary. You must use all the tickets once and only once.  ",reconstruct-itinerary,Reconstruct Itinerary,"Depth-First Search, Graph, Eulerian Circuit",4
"Given an integer n, count the total number of digit 1 appearing in all non-negative integers less than or equal to n.  ",number-of-digit-one,Number of Digit One,"Math, Dynamic Programming, Recursion",4
"You are given an integer array nums and two integers indexDiff and valueDiff. Find a pair of indices (i, j) such that:  i != j, abs(i - j) <= indexDiff. abs(nums[i] - nums[j]) <= valueDiff, and  Return true if such pair exists or false otherwise.  ",contains-duplicate-iii,Contains Duplicate III,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set",4
"Given an integer array nums, rotate the array to the right by k steps, where k is non-negative.  ",rotate-array,Rotate Array,"Array, Math, Two Pointers",4
"Given a 1-indexed array of integers numbers that is already sorted in non-decreasing order, find two numbers such that they add up to a specific target number. Let these two numbers be numbers[index1] and numbers[index2] where 1 <= index1 < index2 <= numbers.length. Return the indices of the two numbers, index1 and index2, added by one as an integer array [index1, index2] of length 2. The tests are generated such that there is exactly one solution. You may not use the same element twice. Your solution must use only constant extra space.  ",two-sum-ii-input-array-is-sorted,Two Sum II - Input Array Is Sorted,"Array, Two Pointers, Binary Search",4
"Given a non-empty array of integers nums, every element appears twice except for one. Find that single one. You must implement a solution with a linear runtime complexity and use only constant extra space.  ",single-number,Single Number,"Array, Bit Manipulation",4
"Given the root of a binary tree, return its maximum depth. A binary tree's maximum depth is the number of nodes along the longest path from the root node down to the farthest leaf node.  ",maximum-depth-of-binary-tree,Maximum Depth of Binary Tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",4
"Given a rows x cols binary matrix filled with 0's and 1's, find the largest rectangle containing only 1's and return its area.  ",maximal-rectangle,Maximal Rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",4
"Given two strings word1 and word2, return the minimum number of operations required to convert word1 to word2. You have the following three operations permitted on a word:  Insert a character Delete a character Replace a character   ",edit-distance,Edit Distance,"String, Dynamic Programming",4
You are climbing a staircase. It takes n steps to reach the top. Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?  ,climbing-stairs,Climbing Stairs,"Math, Dynamic Programming, Memoization",4
"Given a non-negative integer x, return the square root of x rounded down to the nearest integer. The returned integer should be non-negative as well. You must not use any built-in exponent function or operator.  For example, do not use pow(x, 0.5) in c++ or x ** 0.5 in python.   ",sqrtx,Sqrt(x),"Math, Binary Search",4
"Given a m x n grid filled with non-negative numbers, find a path from top left to bottom right, which minimizes the sum of all numbers along its path. Note: You can only move either down or right at any point in time.  ",minimum-path-sum,Minimum Path Sum,"Array, Dynamic Programming, Matrix",4
"You are given an n x n 2D matrix representing an image, rotate the image by 90 degrees (clockwise). You have to rotate the image in-place, which means you have to modify the input 2D matrix directly. DO NOT allocate another 2D matrix and do the rotation.  ",rotate-image,Rotate Image,"Array, Math, Matrix",4
"Given an input string (s) and a pattern (p), implement wildcard pattern matching with support for '?' and '*' where:  '?' Matches any single character. '*' Matches any sequence of characters (including the empty sequence).  The matching should cover the entire input string (not partial).  ",wildcard-matching,Wildcard Matching,"String, Dynamic Programming, Greedy, Recursion",4
"Given a sorted array of distinct integers and a target value, return the index if the target is found. If not, return the index where it would be if it were inserted in order. You must write an algorithm with O(log n) runtime complexity.  ",search-insert-position,Search Insert Position,"Array, Binary Search",4
"Given an integer array nums sorted in non-decreasing order, remove the duplicates in-place such that each unique element appears only once. The relative order of the elements should be kept the same. Then return the number of unique elements in nums. Consider the number of unique elements of nums be k, to get accepted, you need to do the following things:  Change the array nums such that the first k elements of nums contain the unique elements in the order they were present in nums initially. The remaining elements of nums are not important as well as the size of nums. Return k.  Custom Judge: The judge will test your solution with the following code:  int[] nums = [...]; // Input array int[] expectedNums = [...]; // The expected answer with correct length  int k = removeDuplicates(nums); // Calls your implementation  assert k == expectedNums.length; for (int i = 0; i < k; i++) {     assert nums[i] == expectedNums[i]; }  If all assertions pass, then your solution will be accepted.  ",remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,"Array, Two Pointers",4
"Given n pairs of parentheses, write a function to generate all combinations of well-formed parentheses.  ",generate-parentheses,Generate Parentheses,"String, Dynamic Programming, Backtracking",4
"You are playing a game that contains multiple characters, and each of the characters has two main properties: attack and defense. You are given a 2D integer array properties where properties[i] = [attacki, defensei] represents the properties of the ith character in the game. A character is said to be weak if any other character has both attack and defense levels strictly greater than this character's attack and defense levels. More formally, a character i is said to be weak if there exists another character j where attackj > attacki and defensej > defensei. Return the number of weak characters.  ",the-number-of-weak-characters-in-the-game,The Number of Weak Characters in the Game,"Array, Stack, Greedy, Sorting, Monotonic Stack",3
"There is a bi-directional graph with n vertices, where each vertex is labeled from 0 to n - 1 (inclusive). The edges in the graph are represented as a 2D integer array edges, where each edges[i] = [ui, vi] denotes a bi-directional edge between vertex ui and vertex vi. Every vertex pair is connected by at most one edge, and no vertex has an edge to itself. You want to determine if there is a valid path that exists from vertex source to vertex destination. Given edges and the integers n, source, and destination, return true if there is a valid path from source to destination, or false otherwise.  ",find-if-path-exists-in-graph,Find if Path Exists in Graph,"Depth-First Search, Breadth-First Search, Union Find, Graph",3
"The pair sum of a pair (a,b) is equal to a + b. The maximum pair sum is the largest pair sum in a list of pairs.  For example, if we have pairs (1,5), (2,3), and (4,4), the maximum pair sum would be max(1+5, 2+3, 4+4) = max(6, 5, 8) = 8.  Given an array nums of even length n, pair up the elements of nums into n / 2 pairs such that:  Each element of nums is in exactly one pair, and The maximum pair sum is minimized.  Return the minimized maximum pair sum after optimally pairing up the elements.  ",minimize-maximum-pair-sum-in-array,Minimize Maximum Pair Sum in Array,"Array, Two Pointers, Greedy, Sorting",3
"Given an integer n, return the decimal value of the binary string formed by concatenating the binary representations of 1 to n in order, modulo 109 + 7.  ",concatenation-of-consecutive-binary-numbers,Concatenation of Consecutive Binary Numbers,"Math, Bit Manipulation, Simulation",3
"You are given an integer array nums and an integer x. In one operation, you can either remove the leftmost or the rightmost element from the array nums and subtract its value from x. Note that this modifies the array for future operations. Return the minimum number of operations to reduce x to exactly 0 if it is possible, otherwise, return -1.  ",minimum-operations-to-reduce-x-to-zero,Minimum Operations to Reduce X to Zero,"Array, Hash Table, Binary Search, Sliding Window, Prefix Sum",3
"You are given an integer array heights representing the heights of buildings, some bricks, and some ladders. You start your journey from building 0 and move to the next building by possibly using bricks or ladders. While moving from building i to building i+1 (0-indexed),  If the current building's height is greater than or equal to the next building's height, you do not need a ladder or bricks. If the current building's height is less than the next building's height, you can either use one ladder or (h[i+1] - h[i]) bricks.  Return the furthest building index (0-indexed) you can reach if you use the given ladders and bricks optimally.  ",furthest-building-you-can-reach,Furthest Building You Can Reach,"Array, Greedy, Heap (Priority Queue)",3
"Given an integer n, return the number of strings of length n that consist only of vowels (a, e, i, o, u) and are lexicographically sorted. A string s is lexicographically sorted if for all valid i, s[i] is the same as or comes before s[i+1] in the alphabet.  ",count-sorted-vowel-strings,Count Sorted Vowel Strings,"Math, Dynamic Programming, Combinatorics",3
"Given an array of integers nums and an integer limit, return the size of the longest non-empty subarray such that the absolute difference between any two elements of this subarray is less than or equal to limit.  ",longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue",3
You are given an array of strings products and a string searchWord. Design a system that suggests at most three product names from products after each character of searchWord is typed. Suggested products should have common prefix with searchWord. If there are more than three products with a common prefix return the three lexicographically minimums products. Return a list of lists of the suggested products after each character of searchWord is typed.  ,search-suggestions-system,Search Suggestions System,"Array, String, Trie",3
"There is a car with capacity empty seats. The vehicle only drives east (i.e., it cannot turn around and drive west). You are given the integer capacity and an array trips where trips[i] = [numPassengersi, fromi, toi] indicates that the ith trip has numPassengersi passengers and the locations to pick them up and drop them off are fromi and toi respectively. The locations are given as the number of kilometers due east from the car's initial location. Return true if it is possible to pick up and drop off all passengers for all the given trips, or false otherwise.  ",car-pooling,Car Pooling,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum",3
"Given a binary array nums and an integer k, return the maximum number of consecutive 1's in the array if you can flip at most k 0's.  ",max-consecutive-ones-iii,Max Consecutive Ones III,"Array, Binary Search, Sliding Window, Prefix Sum",3
"Given an array of points where points[i] = [xi, yi] represents a point on the X-Y plane and an integer k, return the k closest points to the origin (0, 0). The distance between two points on the X-Y plane is the Euclidean distance (i.e., √(x1 - x2)2 + (y1 - y2)2). You may return the answer in any order. The answer is guaranteed to be unique (except for the order that it is in).  ",k-closest-points-to-origin,K Closest Points to Origin,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect",3
"A binary tree is uni-valued if every node in the tree has the same value. Given the root of a binary tree, return true if the given tree is uni-valued, or false otherwise.  ",univalued-binary-tree,Univalued Binary Tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",3
"Given an integer array of even length arr, return true if it is possible to reorder arr such that arr[2 * i + 1] = 2 * arr[2 * i] for every 0 <= i < len(arr) / 2, or false otherwise.  ",array-of-doubled-pairs,Array of Doubled Pairs,"Array, Hash Table, Greedy, Sorting",3
"Given a circular integer array nums of length n, return the maximum possible sum of a non-empty subarray of nums. A circular array means the end of the array connects to the beginning of the array. Formally, the next element of nums[i] is nums[(i + 1) % n] and the previous element of nums[i] is nums[(i - 1 + n) % n]. A subarray may only include each element of the fixed buffer nums at most once. Formally, for a subarray nums[i], nums[i + 1], ..., nums[j], there does not exist i <= k1, k2 <= j with k1 % n == k2 % n.  ",maximum-sum-circular-subarray,Maximum Sum Circular Subarray,"Array, Divide and Conquer, Dynamic Programming, Queue, Monotonic Queue",3
"We can use run-length encoding (i.e., RLE) to encode a sequence of integers. In a run-length encoded array of even length encoding (0-indexed), for all even i, encoding[i] tells us the number of times that the non-negative integer value encoding[i + 1] is repeated in the sequence.  For example, the sequence arr = [8,8,8,5,5] can be encoded to be encoding = [3,8,2,5]. encoding = [3,8,0,9,2,5] and encoding = [2,8,1,8,2,5] are also valid RLE of arr.  Given a run-length encoded array, design an iterator that iterates through it. Implement the RLEIterator class:  RLEIterator(int[] encoded) Initializes the object with the encoded array encoded. int next(int n) Exhausts the next n elements and returns the last element exhausted in this way. If there is no element left to exhaust, return -1 instead.   ",rle-iterator,RLE Iterator,"Array, Design, Counting, Iterator",3
"Given the head of a singly linked list, return the middle node of the linked list. If there are two middle nodes, return the second middle node.  ",middle-of-the-linked-list,Middle of the Linked List,"Linked List, Two Pointers",3
"You are given an array representing a row of seats where seats[i] = 1 represents a person sitting in the ith seat, and seats[i] = 0 represents that the ith seat is empty (0-indexed). There is at least one empty seat, and at least one person sitting. Alex wants to sit in the seat such that the distance between him and the closest person to him is maximized.  Return that maximum distance to the closest person.  ",maximize-distance-to-closest-person,Maximize Distance to Closest Person,Array,3
"Given two strings s and t, return true if they are equal when both are typed into empty text editors. '#' means a backspace character. Note that after backspacing an empty text, the text will continue empty.  ",backspace-string-compare,Backspace String Compare,"Two Pointers, String, Stack, Simulation",3
"A 3 x 3 magic square is a 3 x 3 grid filled with distinct numbers from 1 to 9 such that each row, column, and both diagonals all have the same sum. Given a row x col grid of integers, how many 3 x 3 ""magic square"" subgrids are there?  (Each subgrid is contiguous).  ",magic-squares-in-grid,Magic Squares In Grid,"Array, Math, Matrix",3
"Given an n x n binary matrix image, flip the image horizontally, then invert it, and return the resulting image. To flip an image horizontally means that each row of the image is reversed.  For example, flipping [1,1,0] horizontally results in [0,1,1].  To invert an image means that each 0 is replaced by 1, and each 1 is replaced by 0.  For example, inverting [0,1,1] results in [1,0,0].   ",flipping-an-image,Flipping an Image,"Array, Two Pointers, Matrix, Simulation",3
"In a string s of lowercase letters, these letters form consecutive groups of the same character. For example, a string like s = ""abbxxxxzyy"" has the groups ""a"", ""bb"", ""xxxx"", ""z"", and ""yy"". A group is identified by an interval [start, end], where start and end denote the start and end indices (inclusive) of the group. In the above example, ""xxxx"" has the interval [3,6]. A group is considered large if it has 3 or more characters. Return the intervals of every large group sorted in increasing order by start index.  ",positions-of-large-groups,Positions of Large Groups,String,3
"Sometimes people repeat letters to represent extra feeling. For example:  ""hello"" -> ""heeellooo"" ""hi"" -> ""hiiii""  In these strings like ""heeellooo"", we have groups of adjacent letters that are all the same: ""h"", ""eee"", ""ll"", ""ooo"". You are given a string s and an array of query strings words. A query word is stretchy if it can be made to be equal to s by any number of applications of the following extension operation: choose a group consisting of characters c, and add some number of characters c to the group so that the size of the group is three or more.  For example, starting with ""hello"", we could do an extension on the group ""o"" to get ""hellooo"", but we cannot get ""helloo"" since the group ""oo"" has a size less than three. Also, we could do another extension like ""ll"" -> ""lllll"" to get ""helllllooo"". If s = ""helllllooo"", then the query word ""hello"" would be stretchy because of these two extension operations: query = ""hello"" -> ""hellooo"" -> ""helllllooo"" = s.  Return the number of query strings that are stretchy.  ",expressive-words,Expressive Words,"Array, Two Pointers, String",3
"There is a city composed of n x n blocks, where each block contains a single building shaped like a vertical square prism. You are given a 0-indexed n x n integer matrix grid where grid[r][c] represents the height of the building located in the block at row r and column c. A city's skyline is the outer contour formed by all the building when viewing the side of the city from a distance. The skyline from each cardinal direction north, east, south, and west may be different. We are allowed to increase the height of any number of buildings by any amount (the amount can be different per building). The height of a 0-height building can also be increased. However, increasing the height of a building should not affect the city's skyline from any cardinal direction. Return the maximum total sum that the height of the buildings can be increased by without changing the city's skyline from any cardinal direction.  ",max-increase-to-keep-city-skyline,Max Increase to Keep City Skyline,"Array, Greedy, Matrix",3
"You are implementing a program to use as your calendar. We can add a new event if adding the event will not cause a double booking. A double booking happens when two events have some non-empty intersection (i.e., some moment is common to both events.). The event can be represented as a pair of integers start and end that represents a booking on the half-open interval [start, end), the range of real numbers x such that start <= x < end. Implement the MyCalendar class:  MyCalendar() Initializes the calendar object. boolean book(int start, int end) Returns true if the event can be added to the calendar successfully without causing a double booking. Otherwise, return false and do not add the event to the calendar.   ",my-calendar-i,My Calendar I,"Binary Search, Design, Segment Tree, Ordered Set",3
"Given a list of accounts where each element accounts[i] is a list of strings, where the first element accounts[i][0] is a name, and the rest of the elements are emails representing emails of the account. Now, we would like to merge these accounts. Two accounts definitely belong to the same person if there is some common email to both accounts. Note that even if two accounts have the same name, they may belong to different people as people could have the same name. A person can have any number of accounts initially, but all of their accounts definitely have the same name. After merging the accounts, return the accounts in the following format: the first element of each account is the name, and the rest of the elements are emails in sorted order. The accounts themselves can be returned in any order.  ",accounts-merge,Accounts Merge,"Array, String, Depth-First Search, Breadth-First Search, Union Find",3
"Given a string s containing only three types of characters: '(', ')' and '*', return true if s is valid. The following rules define a valid string:  Any left parenthesis '(' must have a corresponding right parenthesis ')'. Any right parenthesis ')' must have a corresponding left parenthesis '('. Left parenthesis '(' must go before the corresponding right parenthesis ')'. '*' could be treated as a single right parenthesis ')' or a single left parenthesis '(' or an empty string """".   ",valid-parenthesis-string,Valid Parenthesis String,"String, Dynamic Programming, Stack, Greedy",3
"There is a strange printer with the following two special properties:  The printer can only print a sequence of the same character each time. At each turn, the printer can print new characters starting from and ending at any place and will cover the original existing characters.  Given a string s, return the minimum number of turns the printer needed to print it.  ",strange-printer,Strange Printer,"String, Dynamic Programming",3
"Solve a given equation and return the value of 'x' in the form of a string ""x=#value"". The equation contains only '+', '-' operation, the variable 'x' and its coefficient. You should return ""No solution"" if there is no solution for the equation, or ""Infinite solutions"" if there are infinite solutions for the equation. If there is exactly one solution for the equation, we ensure that the value of 'x' is an integer.  ",solve-the-equation,Solve the Equation,"Math, String, Simulation",3
"In LeetCode Store, there are n items to sell. Each item has a price. However, there are some special offers, and a special offer consists of one or more different kinds of items with a sale price. You are given an integer array price where price[i] is the price of the ith item, and an integer array needs where needs[i] is the number of pieces of the ith item you want to buy. You are also given an array special where special[i] is of size n + 1 where special[i][j] is the number of pieces of the jth item in the ith offer and special[i][n] (i.e., the last integer in the array) is the price of the ith offer. Return the lowest price you have to pay for exactly certain items as given, where you could make optimal use of the special offers. You are not allowed to buy more items than you want, even if that would lower the overall price. You could use any of the special offers as many times as you want.  ",shopping-offers,Shopping Offers,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask",3
"On a single-threaded CPU, we execute a program containing n functions. Each function has a unique ID between 0 and n-1. Function calls are stored in a call stack: when a function call starts, its ID is pushed onto the stack, and when a function call ends, its ID is popped off the stack. The function whose ID is at the top of the stack is the current function being executed. Each time a function starts or ends, we write a log with the ID, whether it started or ended, and the timestamp. You are given a list logs, where logs[i] represents the ith log message formatted as a string ""{function_id}:{""start"" | ""end""}:{timestamp}"". For example, ""0:start:3"" means a function call with function ID 0 started at the beginning of timestamp 3, and ""1:end:2"" means a function call with function ID 1 ended at the end of timestamp 2. Note that a function can be called multiple times, possibly recursively. A function's exclusive time is the sum of execution times for all function calls in the program. For example, if a function is called twice, one call executing for 2 time units and another call executing for 1 time unit, the exclusive time is 2 + 1 = 3. Return the exclusive time of each function in an array, where the value at the ith index represents the exclusive time for the function with ID i.  ",exclusive-time-of-functions,Exclusive Time of Functions,"Array, Stack",3
"Given the root of an n-ary tree, return the preorder traversal of its nodes' values. Nary-Tree input serialization is represented in their level order traversal. Each group of children is separated by the null value (See examples)  ",n-ary-tree-preorder-traversal,N-ary Tree Preorder Traversal,"Stack, Tree, Depth-First Search",3
"Given the root of a binary tree, return the length of the diameter of the tree. The diameter of a binary tree is the length of the longest path between any two nodes in a tree. This path may or may not pass through the root. The length of a path between two nodes is represented by the number of edges between them.  ",diameter-of-binary-tree,Diameter of Binary Tree,"Tree, Depth-First Search, Binary Tree",3
"You are given a sorted array consisting of only integers where every element appears exactly twice, except for one element which appears exactly once. Return the single element that appears only once. Your solution must run in O(log n) time and O(1) space.  ",single-element-in-a-sorted-array,Single Element in a Sorted Array,"Array, Binary Search",3
"Given the root of a Binary Search Tree (BST), return the minimum absolute difference between the values of any two different nodes in the tree.  ",minimum-absolute-difference-in-bst,Minimum Absolute Difference in BST,"Tree, Depth-First Search, Breadth-First Search, Binary Search Tree, Binary Tree",3
"Given an integer num, return a string of its base 7 representation.  ",base-7,Base 7,Math,3
